draft_year,round,pick,team,player,college,success_tier,hit,seasons_primary_starter,label_status,label_confidence,notes
2015,1,1,TB,Jameis Winston,Florida State,2,0,5,final,high,"5 seasons as TB starter incl 5000-yd 2019, 30-INT season; journeyman backup since (NO/CLE/NYG)"
2015,1,2,TEN,Marcus Mariota,Oregon,2,0,4,final,high,"4 seasons TEN starter incl 2017 playoff win; lost job 2019; long backup/bridge career since"
2015,3,75,NO,Garrett Grayson,Colorado State,0,0,0,final,high,"Never threw a regular-season NFL pass"
2015,3,89,STL,Sean Mannion,Oregon State,1,0,0,final,high,"Long-tenured backup (LAR/MIN/SEA), minimal starts"
2015,4,103,NYJ,Bryce Petty,Baylor,0,0,0,final,high,"7 career starts, out of league by 2019"
2015,5,147,GB,Brett Hundley,UCLA,1,0,1,final,high,"9 starts for GB in 2017 (Rodgers injury), backup career after"
2015,7,250,DEN,Trevor Siemian,Northwestern,1,0,2,final,high,"Started ~24 games for DEN 2016-17, journeyman backup since"
2016,1,1,LAR,Jared Goff,California,4,1,9,final,high,"Franchise QB: SB LIII with Rams, revived Lions into contender, multiple Pro Bowls and mega extensions"
2016,1,2,PHI,Carson Wentz,North Dakota State,3,1,7,final,high,"MVP-caliber 2017, big second contract; flamed out post-2020, journeyman by 2022"
2016,1,26,DEN,Paxton Lynch,Memphis,0,0,0,final,high,"4 career starts, classic first-round bust"
2016,2,51,NYJ,Christian Hackenberg,Penn State,0,0,0,final,high,"Never appeared in an NFL regular-season game"
2016,3,91,NE,Jacoby Brissett,NC State,2,0,3,final,high,"Quintessential bridge starter: IND 2017/2019, CLE 2022; ~50 career starts, respected backup-plus"
2016,3,93,CLE,Cody Kessler,USC,1,0,1,final,high,"8 starts as 2016 rookie, out of league by 2020"
2016,4,100,OAK,Connor Cook,Michigan State,0,0,0,final,high,"1 career start (playoff), quickly out"
2016,4,135,DAL,Dak Prescott,Mississippi State,4,1,8,final,high,"Franchise QB steal in R4: OROY, multiple Pro Bowls, led NFL in TD passes 2023, two mega contracts"
2016,4,139,BUF,Cardale Jones,Ohio State,0,0,0,final,high,"Barely played, out of league quickly"
2016,5,162,KC,Kevin Hogan,Stanford,1,0,0,final,medium,"Handful of CLE appearances/starts, brief career"
2016,6,187,WAS,Nate Sudfeld,Indiana,1,0,0,final,medium,"Long-tenured PHI backup, minimal game action"
2016,6,191,DET,Jake Rudock,Michigan,0,0,0,final,medium,"Practice-squad/3rd-string tenure, negligible action"
2016,6,201,JAX,Brandon Allen,Arkansas,1,0,0,final,high,"Long journeyman backup (JAX/DEN/CIN/SF), ~9 career starts"
2016,6,207,SF,Jeff Driskel,Louisiana Tech,1,0,0,final,medium,"Journeyman backup with spot starts (CIN/DET/HOU), also used as TE/gadget"
2016,7,223,MIA,Brandon Doughty,Western Kentucky,0,0,0,final,high,"Never appeared in a regular-season game"
2017,1,2,CHI,Mitchell Trubisky,North Carolina,2,0,4,final,high,"4 seasons CHI starter, 2 playoff berths, Pro Bowl alternate 2018; backup since 2021"
2017,1,10,KC,Patrick Mahomes,Texas Tech,4,1,8,final,high,"Generational: multiple MVPs, 3 Super Bowl titles, 5 SB appearances through 2025"
2017,1,12,HOU,Deshaun Watson,Clemson,3,1,3,final,high,"Elite HOU peak (led NFL passing yards 2020, 3 Pro Bowls); trade + suspension + injuries cratered CLE tenure"
2017,2,52,CLE,DeShone Kizer,Notre Dame,0,0,1,final,high,"15 rough starts as 2017 rookie (0-15 team), effectively done after"
2017,3,87,NYG,Davis Webb,California,1,0,0,final,medium,"Career backup, 1 late-season start; moved into coaching"
2017,3,104,SF,C.J. Beathard,Iowa,1,0,0,final,high,"~12 career starts across SF/JAX as backup"
2017,4,135,PIT,Joshua Dobbs,Tennessee,1,0,1,final,high,"Journeyman backup; 2023 'Passtronaut' stretch with 13 starts (ARI/MIN)"
2017,5,171,BUF,Nathan Peterman,Pittsburgh,1,0,0,final,high,"Infamous INT rate; persisted for years as 3rd QB"
2017,6,215,DET,Brad Kaaya,Miami (FL),0,0,0,final,high,"Never appeared in a regular-season game"
2017,7,253,DEN,Chad Kelly,Ole Miss,0,0,0,final,high,"Mr. Irrelevant; brief NFL tenure, went to CFL stardom"
2018,1,1,CLE,Baker Mayfield,Oklahoma,3,1,7,final,high,"Ended CLE playoff drought 2020; career revival in TB with Pro Bowl seasons and 100M+ deal"
2018,1,3,NYJ,Sam Darnold,USC,3,1,6,final,high,"Struggled NYJ/CAR, then 2024 Pro Bowl breakout (MIN 14-3), signed with SEA and kept starting at high level in 2025"
2018,1,7,BUF,Josh Allen,Wyoming,4,1,8,final,high,"Franchise/elite: MVP 2024, perennial All-Pro candidate, deep playoff runs"
2018,1,10,ARI,Josh Rosen,UCLA,0,0,1,final,high,"13 rookie starts then traded; one of the biggest top-10 QB busts"
2018,1,32,BAL,Lamar Jackson,Louisville,4,1,7,final,high,"2x MVP (2019, 2023), redefined position, mega extension"
2018,3,76,PIT,Mason Rudolph,Oklahoma State,1,0,1,final,high,"Long-time PIT backup; 8 starts 2019, late-2023 playoff-push starter"
2018,4,108,NYG,Kyle Lauletta,Richmond,0,0,0,final,high,"Negligible action"
2018,5,171,DAL,Mike White,Western Kentucky,1,0,0,final,high,"NYJ folk-hero moment 2021, MIA backup after"
2018,6,199,TEN,Luke Falk,Washington State,0,0,0,final,high,"3 appearances with NYJ, brief career"
2018,6,203,JAX,Tanner Lee,Nebraska,0,0,0,final,high,"Never appeared in a regular-season game"
2018,7,219,NE,Danny Etling,LSU,0,0,0,final,high,"Practice-squad journeyman, converted athlete"
2018,7,220,SEA,Alex McGough,Florida International,0,0,0,final,high,"No meaningful NFL action; later UFL MVP"
2018,7,249,CIN,Logan Woodside,Toledo,1,0,0,final,medium,"Multi-year TEN QB2/3, minimal action"
2019,1,1,ARI,Kyler Murray,Oklahoma,3,1,6,final,high,"OROY, 2 Pro Bowls, mega extension; injuries and inconsistency keep him below elite tier"
2019,1,6,NYG,Daniel Jones,Duke,2,0,6,final,medium,"Up-and-down NYG tenure incl 2022 playoff win + big extension, benched/cut 2024; notable 2025 resurgence as IND starter"
2019,1,15,WAS,Dwayne Haskins,Ohio State,0,0,0,final,high,"13 starts over 2 seasons, cut by WAS; died tragically April 2022"
2019,2,42,DEN,Drew Lock,Missouri,1,0,1,final,high,"13 starts 2020, journeyman backup since (SEA/NYG)"
2019,3,100,CAR,Will Grier,West Virginia,0,0,0,final,high,"2 rookie starts, journeyman 3rd QB"
2019,4,104,CIN,Ryan Finley,NC State,0,0,0,final,high,"Handful of starts, out by 2022"
2019,4,133,NE,Jarrett Stidham,Auburn,1,0,0,final,high,"Multi-year backup (NE/LV/DEN) with occasional starts"
2019,5,166,LAC,Easton Stick,North Dakota State,1,0,0,final,medium,"Long LAC backup tenure, few starts"
2019,5,167,PHI,Clayton Thorson,Northwestern,0,0,0,final,high,"Never appeared in a regular-season game"
2019,6,178,JAX,Gardner Minshew,Washington State,2,0,3,final,high,"Minshew Mania: solid bridge starter for JAX/IND (2023 Pro Bowl alternate)/LV"
2019,7,197,BAL,Trace McSorley,Penn State,0,0,0,final,high,"Minimal action, brief journeyman run"
2020,1,1,CIN,Joe Burrow,LSU,4,1,5,final,high,"Franchise/elite: SB LVI run, led NFL in completion pct multiple times; injuries the only blemish"
2020,1,5,MIA,Tua Tagovailoa,Alabama,3,1,6,final,high,"Led NFL in passer rating 2023, Pro Bowl, big extension; concussion history and late-season fades cap the ceiling"
2020,1,6,LAC,Justin Herbert,Oregon,4,1,6,final,high,"OROY, multiple 4500+ yd seasons, mega extension; elite physical production"
2020,1,26,GB,Jordan Love,Utah State,3,1,3,final,high,"Sat 3 years, then quality starter: playoff wins, $55M/yr extension"
2020,2,53,PHI,Jalen Hurts,Oklahoma,4,1,5,final,high,"SB LIX MVP, 2 SB appearances, second-team All-Pro 2022"
2020,4,122,IND,Jacob Eason,Washington,0,0,0,final,high,"Negligible action, quickly out"
2020,4,125,NYJ,James Morgan,Florida International,0,0,0,final,high,"Never appeared in a regular-season game"
2020,5,167,BUF,Jake Fromm,Georgia,0,0,0,final,high,"Brief emergency duty, out of league"
2020,6,189,JAX,Jake Luton,Oregon State,0,0,0,final,high,"3 starts 2020, journeyman PS after"
2020,7,224,TEN,Cole McDonald,Hawaii,0,0,0,final,high,"Never appeared in a regular-season game"
2020,7,231,DAL,Ben DiNucci,James Madison,0,0,0,final,high,"1 start, brief tenure"
2020,7,240,NO,Tommy Stevens,Mississippi State,0,0,0,final,high,"Gadget/PS player, negligible QB action"
2020,7,244,MIN,Nate Stanley,Iowa,0,0,0,final,high,"Never appeared in a regular-season game"
2021,1,1,JAX,Trevor Lawrence,Clemson,3,1,5,final,high,"Franchise starter: 2022 playoff comeback win, $55M/yr extension 2024; consistency and injuries still questions"
2021,1,2,NYJ,Zach Wilson,BYU,0,0,2,final,high,"33 poor starts for NYJ, benched repeatedly; backup journeyman (DEN/MIA) — major bust at #2"
2021,1,3,SF,Trey Lance,North Dakota State,0,0,0,final,high,"SF traded 3 firsts to draft him; ~5 career starts, injuries, dealt to DAL for a 4th; backup since"
2021,1,11,CHI,Justin Fields,Ohio State,2,0,4,final,high,"Electric runner, 3 seasons CHI starter without passing breakout; PIT stopgap 2024, NYJ starter 2025 (benched mid-season)"
2021,1,15,NE,Mac Jones,Alabama,2,0,4,final,high,"Pro Bowl-alternate rookie year, cratered 2022-23; valuable 2025 relief/starter stretch for SF"
2021,2,64,TB,Kyle Trask,Florida,1,0,0,final,high,"Career TB backup, minimal action"
2021,3,66,MIN,Kellen Mond,Texas A&M,0,0,0,final,high,"Negligible action, out quickly"
2021,3,67,HOU,Davis Mills,Stanford,1,0,2,final,high,"26 default starts on bad HOU teams 2021-22, competent backup since"
2021,4,133,NO,Ian Book,Notre Dame,0,0,0,final,high,"1 disastrous start, brief tenure"
2021,6,218,IND,Sam Ehlinger,Texas,1,0,0,final,medium,"3 starts, multi-year IND backup"
2022,1,20,PIT,Kenny Pickett,Pittsburgh,1,0,2,final,high,"~25 low-level starts for PIT incl 2023 playoff season, traded 2024; journeyman backup (PHI/CLE/LV)"
2022,3,74,ATL,Desmond Ridder,Cincinnati,1,0,1,final,high,"13 starts 2023, replaced; journeyman backup"
2022,3,86,TEN,Malik Willis,Liberty,1,0,0,final,high,"Bust as TEN prospect; useful GB backup with quality spot starts 2024"
2022,3,94,CAR,Matt Corral,Ole Miss,0,0,0,final,high,"Never appeared in a regular-season game (injury, released)"
2022,4,137,NE,Bailey Zappe,Western Kentucky,1,0,0,final,high,"Spot starter NE 2022-23, journeyman 3rd QB since"
2022,5,144,WAS,Sam Howell,North Carolina,1,0,1,final,high,"Full-season WAS starter 2023 (led NFL in attempts and sacks taken), backup since (SEA/MIN)"
2022,7,241,PIT,Chris Oladokun,South Dakota State,0,0,0,final,medium,"KC 3rd QB/practice squad tenure, no meaningful action"
2022,7,247,MIA,Skylar Thompson,Kansas State,1,0,0,final,high,"MIA backup incl emergency 2022 playoff start"
2022,7,262,SF,Brock Purdy,Iowa State,3,1,3,final,high,"Mr. Irrelevant to SB LVIII starter, NFC title games, mega extension 2025; injuries hampered 2025"
2023,1,1,CAR,Bryce Young,Alabama,2,0,3,provisional,medium,"Historically bad rookie year, benched 2024, encouraging revival late 2024 into 2025; trajectory up but not established"
2023,1,2,HOU,C.J. Stroud,Ohio State,3,1,3,provisional,high,"OROY + playoff win yr 1; sophomore slump behind bad OL; solid-not-spectacular since"
2023,1,4,IND,Anthony Richardson,Florida,1,0,1,provisional,high,"Elite tools, injuries + sub-50% accuracy, benched 2024, lost 2025 job to Daniel Jones; trending bust"
2023,2,33,TEN,Will Levis,Kentucky,1,0,2,provisional,high,"21 turbulent starts 2023-24, missed 2025 with shoulder surgery; trending backup"
2023,3,68,DET,Hendon Hooker,Tennessee,1,0,0,provisional,medium,"Older prospect off ACL; DET 3rd QB, little action"
2023,4,127,NO,Jake Haener,Fresno State,1,0,0,provisional,medium,"NO backup, spot duty"
2023,4,128,LAR,Stetson Bennett,Georgia,1,0,0,provisional,medium,"Missed rookie year (personal), LAR backup since"
2023,4,135,LV,Aidan O'Connell,Purdue,1,0,1,provisional,high,"~16 starts across 2023-24 as competent placeholder, backup 2025"
2023,5,139,ARI,Clayton Tune,Houston,1,0,0,provisional,medium,"ARI backup, minimal action"
2023,5,140,CLE,Dorian Thompson-Robinson,UCLA,1,0,0,provisional,medium,"CLE spot starter 2023-24, traded to PHI as backup"
2023,5,149,GB,Sean Clifford,Penn State,0,0,0,provisional,medium,"GB QB3/practice squad, cut"
2023,5,164,MIN,Jaren Hall,BYU,0,0,0,provisional,medium,"Brief MIN action, PS journeyman"
2023,6,188,PHI,Tanner McKee,Stanford,1,0,0,provisional,medium,"Impressive PHI spot starts, valued backup"
2023,7,239,LAC,Max Duggan,TCU,0,0,0,provisional,medium,"LAC PS tenure"
2024,1,1,CHI,Caleb Williams,USC,3,,2,projection_target,medium,"Rough rookie year behind poor structure; clear step forward 2025 under Ben Johnson"
2024,1,2,WAS,Jayden Daniels,LSU,4,,2,projection_target,high,"OROY 2024 + NFC title game run as rookie; injury-marred 2025 but elite trajectory"
2024,1,3,NE,Drake Maye,North Carolina,4,,2,projection_target,high,"2025 breakout: MVP-caliber efficiency leading NE resurgence"
2024,1,8,ATL,Michael Penix Jr.,Washington,2,,1,projection_target,medium,"Took over late 2024; uneven 2025 cut short by knee injury"
2024,1,10,MIN,J.J. McCarthy,Michigan,2,,1,projection_target,medium,"Missed 2024 (meniscus); up-and-down injury-interrupted 2025"
2024,1,12,DEN,Bo Nix,Oregon,3,,2,projection_target,high,"Playoffs as rookie, strong 2025 with DEN near top of AFC"
2024,5,150,NO,Spencer Rattler,South Carolina,1,,1,projection_target,medium,"Default starter stretches on rebuilding NO"
2024,5,171,NYJ,Jordan Travis,Florida State,0,,0,projection_target,high,"Never recovered from college leg injury; medically retired"
2024,6,193,NE,Joe Milton III,Tennessee,1,,0,projection_target,medium,"Huge arm; traded to DAL as developmental backup"
2024,6,218,BAL,Devin Leary,Kentucky,0,,0,projection_target,medium,"PS tenure"
2024,7,245,GB,Michael Pratt,Tulane,0,,0,projection_target,medium,"Cut/PS journeyman"
2025,1,1,TEN,Cam Ward,Miami (FL),2,,1,projection_target,medium,"Full-time rookie starter on weak TEN roster; flashes amid struggles"
2025,1,25,NYG,Jaxson Dart,Ole Miss,2,,1,projection_target,medium,"Took over mid-2025, promising play, some injuries/concussions"
2025,2,40,NO,Tyler Shough,Louisville,2,,1,projection_target,medium,"Older rookie; became NO starter late 2025 with decent results"
2025,3,92,SEA,Jalen Milroe,Alabama,1,,0,projection_target,medium,"SEA developmental/gadget QB behind Darnold"
2025,3,94,CLE,Dillon Gabriel,Oregon,1,,0,projection_target,medium,"CLE rookie starter stretch, benched; undersized efficiency profile"
2025,5,144,CLE,Shedeur Sanders,Colorado,1,,0,projection_target,medium,"Famous draft slide; late-2025 CLE starts with mixed results"
2025,6,181,PHI,Kyle McCord,Syracuse,0,,0,projection_target,medium,"PHI QB3/PS"
2025,6,185,PIT,Will Howard,Ohio State,1,,0,projection_target,medium,"Hand injury wiped out most of rookie year"
2025,6,189,IND,Riley Leonard,Notre Dame,1,,0,projection_target,medium,"IND backup"
2025,6,197,HOU,Graham Mertz,Florida,0,,0,projection_target,low,"Drafted off ACL tear; developmental backup"
2025,6,215,LV,Cam Miller,North Dakota State,0,,0,projection_target,medium,"LV QB3/PS"
2025,7,227,SF,Kurtis Rourke,Indiana,0,,0,projection_target,medium,"Drafted while rehabbing ACL; redshirt rookie year"
2025,7,231,MIA,Quinn Ewers,Texas,1,,0,projection_target,medium,"MIA backup; former five-star who slid to R7"
2026,1,1,LV,Fernando Mendoza,Indiana,,,,projection_target,high,"Draft slot from ESPN/NFL.com; no NFL outcome yet"
2026,1,13,LAR,Ty Simpson,Alabama,,,,projection_target,high,"Draft slot from ESPN/NFL.com; no NFL outcome yet"
2026,3,65,ARI,Carson Beck,Miami,,,,projection_target,high,"Draft slot from ESPN/NFL.com; no NFL outcome yet"
2026,3,76,PIT,Drew Allar,Penn State,,,,projection_target,high,"Draft slot from ESPN/NFL.com; no NFL outcome yet"
2026,4,110,NYJ,Cade Klubnik,Clemson,,,,projection_target,high,"Draft slot from ESPN/NFL.com; no NFL outcome yet"
2026,5,178,PHI,Cole Payton,North Dakota State,,,,projection_target,high,"Draft slot from ESPN/NFL.com; no NFL outcome yet"
2026,6,182,CLE,Taylen Green,Arkansas,,,,projection_target,high,"Draft slot from ESPN/NFL.com; no NFL outcome yet"
2026,7,223,WAS,Athan Kaliakmanis,Rutgers,,,,projection_target,high,"Draft slot from ESPN/NFL.com; no NFL outcome yet"
2026,7,234,NE,Behren Morton,Texas Tech,,,,projection_target,high,"Draft slot from ESPN/NFL.com; no NFL outcome yet"
2026,7,249,KC,Garrett Nussmeier,LSU,,,,projection_target,high,"Draft slot from ESPN/NFL.com; no NFL outcome yet"
