canonical_name,college,draft_season,round,pick,draft_adjusted_hit_prob,model_hit_prob,model_hit_prob_no_pff,model_hit_prob_pick_only,model_hit_prob_post_draft,model_hit_prob_post_draft_pff,pff_model_delta,expected_tier,percentile_vs_history,actual_tier_or_projection,label_status,top_positive_indicators,top_negative_indicators,data_coverage,scout_note
Bryce Young,Alabama,2023,1,1,0.710919425699089,0.2004424100136512,0.22929608606509852,0.710919425699089,0.5613988099054106,0.4228150286628913,-0.028853676051447313,1.2078949139579795,96.3,2.0,provisional,Career total production (PPA); Career PPA per play; Passing-down efficiency (final yr),"Turnover-worthy-play rate, no screens (final yr); Weight/frame; PFF accuracy %, no screens (final yr)","PFF, combine (no 40)","Historically bad rookie year, benched 2024, encouraging revival late 2024 into 2025; trajectory up but not established"
C.J. Stroud,Ohio State,2023,1,2,0.68470722316805,0.40951581015501504,0.494527863021038,0.598911649624323,0.68470722316805,0.7077190627304882,-0.08501205286602298,1.5541896461124458,91.2,3.0,provisional,"Career PPA per play; Career total production (PPA); Big-time-throw rate, no screens (final yr)",PFF passing grade under pressure (final yr); PFF rushing grade (final yr); Weight/frame,"PFF, combine (no 40)",OROY + playoff win yr 1; sophomore slump behind bad OL; solid-not-spectacular since
Anthony Richardson,Florida,2023,1,4,0.47552235277277183,0.3147121192335669,0.3069719381016184,0.47552235277277183,0.4052077133325824,0.48273203897922856,0.00774018113194852,1.9993084000261696,80.1,1.0,provisional,Broad-jump explosiveness; PFF rushing grade (final yr); Weight/frame,Career total production (PPA); PFF passing grade under pressure (final yr); PFF dropbacks (final yr),"PFF, combine","Elite tools, injuries + sub-50% accuracy, benched 2024, lost 2025 job to Daniel Jones; trending bust"
Clayton Tune,Houston,2023,5,139,0.2586371433684909,0.45930007231349873,0.38890625996689715,0.06586968914414593,0.2586371433684909,0.3502141496260191,0.07039381234660158,2.2021606528489284,69.1,1.0,provisional,Career total production (PPA); Broad-jump explosiveness; Passing-down efficiency (final yr),"College seasons (age/declare proxy); Career PPA per play; Turnover-worthy-play rate, no screens (final yr)","PFF, combine","ARI backup, minimal action"
Dorian Thompson-Robinson,UCLA,2023,5,140,0.17728549738652313,0.27266125085496246,0.3069447233174757,0.06555291145078632,0.17728549738652313,0.28531799998765567,-0.03428347246251323,1.6337575618735125,64.7,1.0,provisional,"Career total production (PPA); Broad-jump explosiveness; Turnover-worthy-play rate, no screens (final yr)","Big-time-throw rate, no screens (final yr); PFF passing grade clean pocket (final yr); Weight/frame","PFF, combine","CLE spot starter 2023-24, traded to PHI as backup"
Will Levis,Kentucky,2023,2,33,0.16563257409910684,0.06291644959381266,0.10510136267763637,0.16563257409910684,0.12314133602361173,0.08167689551225864,-0.0421849130838237,1.1625071568425462,63.2,1.0,provisional,"Broad-jump explosiveness; Turnover-worthy-play rate, no screens (final yr); Weight/frame","PFF passing grade clean pocket (final yr); Big-time-throw rate, no screens (final yr); Career PPA per play","PFF, combine (no 40)","21 turbulent starts 2023-24, missed 2025 with shoulder surgery; trending backup"
Hendon Hooker,Tennessee,2023,3,68,0.13593120681321208,0.07602113527520131,0.13124431699189176,0.10552291779623907,0.13593120681321208,0.03986928628699829,-0.05522318171669045,0.6664200660603994,58.8,1.0,provisional,Career total production (PPA); PFF rushing grade (final yr); PFF passing grade clean pocket (final yr),"Turnover-worthy-play rate, no screens (final yr); Pressure-to-sack rate, no screens (final yr); PFF passing grade under pressure (final yr)","PFF, combine (no 40)","Older prospect off ACL; DET 3rd QB, little action"
Sean Clifford,Penn State,2023,5,149,0.10374604375484488,0.13726546928226757,0.18429913861730254,0.06285879131003369,0.10374604375484488,0.07727003957129928,-0.04703366933503497,0.6838371391407445,52.2,0.0,provisional,Career total production (PPA); Career PPA per play; PFF passing grade clean pocket (final yr),"Turnover-worthy-play rate, no screens (final yr); College seasons (age/declare proxy); Big-time-throw rate, no screens (final yr)","PFF, no combine testing","GB QB3/practice squad, cut"
Stetson Bennett,Georgia,2023,4,128,0.08501161572332579,0.27441364884191466,0.2009042237416437,0.06961649526241248,0.08501161572332579,0.10743515080174211,0.07350942510027095,1.0048371061091752,40.4,1.0,provisional,Career total production (PPA); Career PPA per play; Passing-down efficiency (final yr),"Weight/frame; Turnover-worthy-play rate, no screens (final yr); College seasons (age/declare proxy)","PFF, combine","Missed rookie year (personal), LAR backup since"
Jake Haener,Fresno State,2023,4,127,0.0699830409419532,0.05673212683793816,0.06475870368100167,0.0699830409419532,0.062478812035620244,0.03234950234071941,-0.008026576843063515,0.12250891869396785,30.1,1.0,provisional,PFF passing grade clean pocket (final yr); Career total production (PPA); PFF rushing grade (final yr),"Turnover-worthy-play rate, no screens (final yr); Career PPA per play; Weight/frame","PFF, combine (no 40)","NO backup, spot duty"
Aidan O'Connell,Purdue,2023,4,135,0.0671747615007354,0.08996181152174576,0.072347392384778,0.0671747615007354,0.054744784382051104,0.07877204954629378,0.017614419136967763,0.6678719520300934,27.9,1.0,provisional,"Turnover-worthy-play rate, no screens (final yr); Career total production (PPA); PFF dropbacks (final yr)","PFF passing grade clean pocket (final yr); PFF rushing grade (final yr); Big-time-throw rate, no screens (final yr)","PFF, combine (no 40)","~16 starts across 2023-24 as competent placeholder, backup 2025"
Max Duggan,TCU,2023,7,239,0.06520392173288404,0.21038710413294548,0.14667243513363326,0.045561638851110545,0.06520392173288404,0.08947430836149715,0.06371466899931222,1.3722789169260197,25.7,0.0,provisional,Career total production (PPA); PFF rushing grade (final yr); 40-yard speed,Weight/frame; PFF passing grade under pressure (final yr); College seasons (age/declare proxy),"PFF, combine",LAC PS tenure
Jaren Hall,BYU,2023,5,164,0.05891234436727737,0.07247581912254952,0.034130406514606394,0.05891234436727737,0.024827636160627834,0.026833420608172485,0.03834541260794313,0.46030556546138024,21.3,0.0,provisional,,Career PPA per play; Weight/frame; College seasons (age/declare proxy),"PFF partial, combine (no 40)","Brief MIN action, PS journeyman"
Tanner McKee,Stanford,2023,6,188,0.05369263867906829,0.015516540644125932,0.03453473581281533,0.05369263867906829,0.019865284000978763,0.003708763205150417,-0.0190181951686894,0.0,14.0,1.0,provisional,"Weight/frame; PFF dropbacks (final yr); PFF accuracy %, no screens (final yr)","Turnover-worthy-play rate, no screens (final yr); Career total production (PPA); Career PPA per play","PFF, combine (no 40)","Impressive PHI spot starts, valued backup"
Caleb Williams,USC,2024,1,1,0.852257526242158,0.5799730239447474,0.6050947045849383,0.710919425699089,0.852257526242158,0.8949952515127036,-0.025121680640190935,2.624003311232153,99.3,3.0,projection_target,Career total production (PPA); Career PPA per play; PFF rushing grade (final yr),"PFF passing grade under pressure (final yr); Pressure-to-sack rate, no screens (final yr); Weight/frame","PFF, combine (no 40)",Rough rookie year behind poor structure; clear step forward 2025 under Ben Johnson
Jayden Daniels,LSU,2024,1,2,0.8304931945388637,0.5295898190643606,0.6090508708328483,0.598911649624323,0.8304931945388637,0.7657110325991001,-0.07946105176848761,2.636212175775216,98.5,4.0,projection_target,Career total production (PPA); PFF rushing grade (final yr); Career PPA per play,"Turnover-worthy-play rate, no screens (final yr); Weight/frame; College seasons (age/declare proxy)","PFF, combine (no 40)",OROY 2024 + NFC title game run as rookie; injury-marred 2025 but elite trajectory
Bo Nix,Oregon,2024,1,12,0.6854269730038023,0.4143315518136876,0.5815800016916348,0.29136569467307144,0.6854269730038023,0.5293961121471654,-0.16724844987794724,2.305013261355535,91.9,3.0,projection_target,Career total production (PPA); PFF passing grade under pressure (final yr); Passing-down efficiency (final yr),"Turnover-worthy-play rate, no screens (final yr); College seasons (age/declare proxy); PFF accuracy %, no screens (final yr)","PFF, combine (no 40)","Playoffs as rookie, strong 2025 with DEN near top of AFC"
Drake Maye,North Carolina,2024,1,3,0.5272435217429428,0.20608493043890694,0.22994649609803747,0.5272435217429428,0.4883148168286626,0.29940396216495413,-0.02386156565913053,1.8344824508343518,85.3,4.0,projection_target,"Career total production (PPA); Big-time-throw rate, no screens (final yr); PFF rushing grade (final yr)","Turnover-worthy-play rate, no screens (final yr); Pressure-to-sack rate, no screens (final yr); PFF accuracy %, no screens (final yr)","PFF, combine (no 40)",2025 breakout: MVP-caliber efficiency leading NE resurgence
Michael Penix Jr.,Washington,2024,1,8,0.3550509085477328,0.2414380011536843,0.13461374995495415,0.3550509085477328,0.35415524750392996,0.3440654562926166,0.10682425119873015,1.0686500136888168,76.5,2.0,projection_target,"Career total production (PPA); Pressure-to-sack rate, no screens (final yr); Big-time-throw rate, no screens (final yr)","Turnover-worthy-play rate, no screens (final yr); Career PPA per play; College seasons (age/declare proxy)","PFF, combine (no 40)",Took over late 2024; uneven 2025 cut short by knee injury
J.J. McCarthy,Michigan,2024,1,10,0.3191834262391358,0.2604198115823752,0.23974577129954042,0.3191834262391358,0.2844180105104003,0.2512564189258341,0.020674040282834788,1.9671765377988935,73.5,2.0,projection_target,Career PPA per play; PFF rushing grade (final yr); PFF passing grade under pressure (final yr),"Turnover-worthy-play rate, no screens (final yr); PFF dropbacks (final yr); PFF accuracy %, no screens (final yr)","PFF, combine (no 40)",Missed 2024 (meniscus); up-and-down injury-interrupted 2025
Michael Pratt,Tulane,2024,7,245,0.09250222737612285,0.16783818391047245,0.15669824435433136,0.04479181313121092,0.09250222737612285,0.1059842280149601,0.011139939556141093,1.2076187030365446,46.3,0.0,projection_target,"Career total production (PPA); Turnover-worthy-play rate, no screens (final yr); Big-time-throw rate, no screens (final yr)","PFF passing grade clean pocket (final yr); PFF dropbacks (final yr); Pressure-to-sack rate, no screens (final yr)","PFF, combine (no 40)",Cut/PS journeyman
Spencer Rattler,South Carolina,2024,5,150,0.07463305238726545,0.07709750377909591,0.09572159278927879,0.06257576675019424,0.07463305238726545,0.04524943818475352,-0.01862408901018288,0.6782750480603603,32.4,1.0,projection_target,Career total production (PPA); Career PPA per play; PFF rushing grade (final yr),"Turnover-worthy-play rate, no screens (final yr); Broad-jump explosiveness; Big-time-throw rate, no screens (final yr)","PFF, combine",Default starter stretches on rebuilding NO
Jordan Travis,Florida State,2024,5,171,0.0572663369178393,0.12411263263032417,0.07562969251490308,0.0572663369178393,0.051138106211522275,0.045477934775077736,0.04848294011542109,0.0,19.1,0.0,projection_target,"Career total production (PPA); PFF rushing grade (final yr); Big-time-throw rate, no screens (final yr)","Turnover-worthy-play rate, no screens (final yr); Weight/frame; College seasons (age/declare proxy)","PFF, combine (no 40)",Never recovered from college leg injury; medically retired
Joe Milton III,Tennessee,2024,6,193,0.0550066853339616,0.10090485082989543,0.12017487808267667,0.0527407328623328,0.0550066853339616,0.0339514720309733,-0.019270027252781236,0.40771561863248384,15.4,1.0,projection_target,Broad-jump explosiveness; PFF rushing grade (final yr); Career PPA per play,"Turnover-worthy-play rate, no screens (final yr); PFF passing grade clean pocket (final yr); College seasons (age/declare proxy)","PFF, combine (no 40)",Huge arm; traded to DAL as developmental backup
Devin Leary,Kentucky,2024,6,218,0.04852848334337881,0.151219118648281,0.048259978405624446,0.04852848334337881,0.03356262458587903,0.12079662774800574,0.10295914024265655,0.6427053661648334,8.1,0.0,projection_target,"Turnover-worthy-play rate, no screens (final yr); Career total production (PPA); PFF passing grade clean pocket (final yr)",PFF passing grade under pressure (final yr); Career PPA per play; Passing-down efficiency (final yr),"PFF, combine (no 40)",PS tenure
Cam Ward,Miami (FL),2025,1,1,0.7136109879394171,0.4649576794709009,0.3842114391253286,0.710919425699089,0.7136109879394171,0.7783654633351195,0.08074624034557226,1.9766282509302595,97.1,2.0,projection_target,Career total production (PPA); Passing-down efficiency (final yr); Career PPA per play,"College seasons (age/declare proxy); Weight/frame; PFF accuracy %, no screens (final yr)","PFF, combine (no 40)",Full-time rookie starter on weak TEN roster; flashes amid struggles
Dillon Gabriel,Oregon,2025,3,94,0.5648539431762637,0.37947972259609475,0.6677613809787368,0.08546019899006174,0.5648539431762637,0.437353742871945,-0.2882816583826421,1.6326175944030923,86.0,1.0,projection_target,Career total production (PPA); Career PPA per play; Passing-down efficiency (final yr),"Turnover-worthy-play rate, no screens (final yr); Weight/frame; Big-time-throw rate, no screens (final yr)","PFF, combine (no 40)","CLE rookie starter stretch, benched; undersized efficiency profile"
Jaxson Dart,Ole Miss,2025,1,25,0.4978281946024909,0.4516213072464884,0.5456322518734056,0.1951221050315784,0.4978281946024909,0.41801164830562604,-0.09401094462691717,2.437203891086216,82.4,2.0,projection_target,Career total production (PPA); Career PPA per play; Passing-down efficiency (final yr),"Turnover-worthy-play rate, no screens (final yr); College seasons (age/declare proxy); PFF accuracy %, no screens (final yr)","PFF, combine (no 40)","Took over mid-2025, promising play, some injuries/concussions"
Cam Miller,North Dakota State,2025,6,215,0.3481718387509047,0.4512175183890549,0.6669931974177725,0.048991104866437075,0.3481718387509047,0.3662825123596636,-0.21577567902871764,1.8322332237610417,75.0,0.0,projection_target,Career total production (PPA); Career PPA per play; Passing-down efficiency (final yr),College seasons (age/declare proxy),"PFF partial, no combine testing",LV QB3/PS
Tyler Shough,Louisville,2025,2,40,0.14921781209556811,0.1717186922635728,0.18851618360065026,0.14737122060471694,0.14921781209556811,0.10359077586976286,-0.016797491337077447,0.17528838422470217,61.0,2.0,projection_target,"Career PPA per play; Pressure-to-sack rate, no screens (final yr); Broad-jump explosiveness","Turnover-worthy-play rate, no screens (final yr); College seasons (age/declare proxy); PFF rushing grade (final yr)","PFF, combine",Older rookie; became NO starter late 2025 with decent results
Will Howard,Ohio State,2025,6,185,0.14629401031366235,0.28389781065305086,0.3019196269887148,0.05428399676340578,0.14629401031366235,0.17887147668126224,-0.01802181633566391,1.418851274038269,59.6,1.0,projection_target,Career total production (PPA); Weight/frame; Passing-down efficiency (final yr),College seasons (age/declare proxy); Broad-jump explosiveness; PFF passing grade under pressure (final yr),"PFF, combine (no 40)",Hand injury wiped out most of rookie year
Kyle McCord,Syracuse,2025,6,181,0.09476913915204353,0.3908411819659917,0.1926801356617496,0.05509741263195583,0.09476913915204353,0.17126359739152502,0.1981610463042421,2.150650002379985,47.8,0.0,projection_target,Career PPA per play; Career total production (PPA); PFF dropbacks (final yr),Passing-down efficiency (final yr); College seasons (age/declare proxy); Weight/frame,"PFF, combine (no 40)",PHI QB3/PS
Jalen Milroe,Alabama,2025,3,92,0.08667785331022371,0.11946727090664956,0.09101583926781401,0.08667785331022371,0.07206145335524215,0.05864978688781609,0.028451431638835553,1.0367230437542254,41.9,1.0,projection_target,PFF rushing grade (final yr); Career total production (PPA); PFF passing grade clean pocket (final yr),"Turnover-worthy-play rate, no screens (final yr); PFF dropbacks (final yr); Passing-down efficiency (final yr)","PFF, combine (no 40)",SEA developmental/gadget QB behind Darnold
Kurtis Rourke,Indiana,2025,7,227,0.08444765622414098,0.12387866094062583,0.14180616800618634,0.04720149141366303,0.08444765622414098,0.046577005298635135,-0.01792750706556051,0.4303719667065746,39.7,0.0,projection_target,Career total production (PPA); PFF passing grade under pressure (final yr); Passing-down efficiency (final yr),"PFF rushing grade (final yr); Career PPA per play; Turnover-worthy-play rate, no screens (final yr)","PFF, combine (no 40)",Drafted while rehabbing ACL; redshirt rookie year
Riley Leonard,Notre Dame,2025,6,189,0.06567461786568403,0.11373258026157748,0.11978718872282677,0.05349895048009792,0.06567461786568403,0.05694543234340583,-0.006054608461249292,1.1401927644311314,26.5,1.0,projection_target,"PFF rushing grade (final yr); Career total production (PPA); Pressure-to-sack rate, no screens (final yr)","Turnover-worthy-play rate, no screens (final yr); PFF passing grade under pressure (final yr); Big-time-throw rate, no screens (final yr)","PFF, combine (no 40)",IND backup
Shedeur Sanders,Colorado,2025,5,144,0.06432170810362065,0.09894663854327775,0.1182205109490308,0.06432170810362065,0.05475762566925229,0.022819212144825147,-0.019273872405753054,1.398500777593565,25.0,1.0,projection_target,PFF passing grade clean pocket (final yr); PFF dropbacks (final yr); PFF passing grade under pressure (final yr),"Turnover-worthy-play rate, no screens (final yr); Weight/frame; Career total production (PPA)","PFF, combine (no 40)",Famous draft slide; late-2025 CLE starts with mixed results
Quinn Ewers,Texas,2025,7,231,0.06360174478646903,0.13736293194067029,0.1633443188367013,0.046639243619073234,0.06360174478646903,0.0794250312570032,-0.025981386896031022,1.2527038160392314,24.3,1.0,projection_target,"Turnover-worthy-play rate, no screens (final yr); Career total production (PPA); Career PPA per play","PFF passing grade under pressure (final yr); Pressure-to-sack rate, no screens (final yr); PFF rushing grade (final yr)","PFF, combine (no 40)",MIA backup; former five-star who slid to R7
Graham Mertz,Florida,2025,6,197,0.052007915561128715,0.04372602682471309,0.022027801129345558,0.052007915561128715,0.025779461780272395,0.03099150631161362,0.021698225695367532,0.0,11.8,0.0,projection_target,"Turnover-worthy-play rate, no screens (final yr); Career total production (PPA); Pressure-to-sack rate, no screens (final yr)",PFF dropbacks (final yr); Passing-down efficiency (final yr); College seasons (age/declare proxy),"PFF, combine (no 40)",Drafted off ACL tear; developmental backup
Fernando Mendoza,Indiana,2026,1,1,0.710919425699089,0.3079138234165993,0.38228621619548964,0.710919425699089,0.6717550729734745,0.560406380241684,-0.07437239277889035,2.206004288294655,96.3,,projection_target,Passing-down efficiency (final yr); Weight/frame; Career total production (PPA),"Turnover-worthy-play rate, no screens (final yr); PFF accuracy %, no screens (final yr); Pressure-to-sack rate, no screens (final yr)","PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
Ty Simpson,Alabama,2026,1,13,0.2796145265938979,0.09737426396737475,0.03919152562995048,0.2796145265938979,0.06893764793543569,0.08257103133292469,0.058182738337424274,0.5599758041063377,71.3,,projection_target,PFF dropbacks (final yr); PFF passing grade clean pocket (final yr); Career PPA per play,Career total production (PPA); Weight/frame; PFF passing grade under pressure (final yr),"PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
Taylen Green,Arkansas,2026,6,182,0.25337006636796605,0.4896054010224592,0.4911415885140121,0.05489131019780862,0.25337006636796605,0.5338975941825044,-0.0015361874915528761,2.8961870645536925,68.4,,projection_target,"Broad-jump explosiveness; Turnover-worthy-play rate, no screens (final yr); Career total production (PPA)","PFF passing grade under pressure (final yr); Career PPA per play; Big-time-throw rate, no screens (final yr)","PFF, combine",Draft slot from ESPN/NFL.com; no NFL outcome yet
Carson Beck,Miami,2026,3,65,0.18987214032005773,0.09213243073630457,0.18829808793650957,0.10862788577669698,0.18987214032005773,0.10280570570699898,-0.096165657200205,0.7090777507222819,65.4,,projection_target,Career total production (PPA); Weight/frame; PFF dropbacks (final yr),"Turnover-worthy-play rate, no screens (final yr); PFF rushing grade (final yr); Big-time-throw rate, no screens (final yr)","PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
Cole Payton,North Dakota State,2026,5,178,0.14683620656233526,0.3468964860550857,0.43612248262794845,0.05572708866549501,0.14683620656233526,0.18201601126883848,-0.08922599657286273,1.6604851405191572,60.3,,projection_target,Broad-jump explosiveness; Passing-down efficiency (final yr); Career PPA per play,Career total production (PPA); College seasons (age/declare proxy),"no PFF, combine",Draft slot from ESPN/NFL.com; no NFL outcome yet
Drew Allar,Penn State,2026,3,76,0.10253549124803886,0.05556231842598123,0.13067653873627966,0.09820143360060414,0.10253549124803886,0.04487020563766378,-0.07511422031029844,0.37774145130423364,50.7,,projection_target,PFF rushing grade (final yr); Career total production (PPA); Weight/frame,"PFF passing grade clean pocket (final yr); PFF dropbacks (final yr); Big-time-throw rate, no screens (final yr)","PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
Cade Klubnik,Clemson,2026,4,110,0.07702223203698176,0.03963348157924124,0.028828572893827432,0.07702223203698176,0.0361335861702919,0.020888775452761695,0.010804908685413811,0.18497643637228112,33.1,,projection_target,"Pressure-to-sack rate, no screens (final yr); Career total production (PPA); PFF passing grade under pressure (final yr)","Passing-down efficiency (final yr); Career PPA per play; Turnover-worthy-play rate, no screens (final yr)","PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
Athan Kaliakmanis,Rutgers,2026,7,223,0.0477803467721554,0.05363163869235155,0.03835629014021175,0.0477803467721554,0.02597089064501095,0.009850223403952618,0.0152753485521398,0.7032955879778598,5.9,,projection_target,"PFF passing grade under pressure (final yr); Big-time-throw rate, no screens (final yr); PFF passing grade clean pocket (final yr)","Turnover-worthy-play rate, no screens (final yr); Career PPA per play; Pressure-to-sack rate, no screens (final yr)","PFF, no combine testing",Draft slot from ESPN/NFL.com; no NFL outcome yet
Behren Morton,Texas Tech,2026,7,234,0.046228007070053534,0.04991562819366453,0.024570164640546458,0.046228007070053534,0.016595901818485352,0.021468406992967978,0.025345463553118074,0.15177198863704267,4.4,,projection_target,"Turnover-worthy-play rate, no screens (final yr); Big-time-throw rate, no screens (final yr); PFF accuracy %, no screens (final yr)",Career PPA per play; PFF rushing grade (final yr); PFF passing grade under pressure (final yr),"PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
Garrett Nussmeier,LSU,2026,7,249,0.04429570939777554,0.04551890272823616,0.025504665791734674,0.04429570939777554,0.017036455724225612,0.01491741116744297,0.020014236936501485,0.0,1.5,,projection_target,"Turnover-worthy-play rate, no screens (final yr)",Weight/frame; PFF dropbacks (final yr); Passing-down efficiency (final yr),"PFF, combine (no 40)",Draft slot from ESPN/NFL.com; no NFL outcome yet
